wdid,name,wdLabel,source,sourceDate,pid,position,start,psid
Q12710292,Takiyuddin Hassan,Takiyuddin Hassan,https://en.wikipedia.org/w/index.php?title=Ismail_Sabri_cabinet&oldid=1059178629,2021-12-09,Q30601398,Minister of Natural Resources and Environment,2021-08-30,Q12710292-32E3D43B-9859-49B6-95AF-21C8EDD9A50B
Q12711862,Tuan Ibrahim Tuan Man,Tuan Ibrahim Tuan Man,https://en.wikipedia.org/w/index.php?title=Ismail_Sabri_cabinet&oldid=1059178629,2021-12-09,Q106372248,Minister of Environment and Water,2021-08-30,Q12711862-18A974B2-783D-4E7F-BCC6-D38F0A2299CC
Q1449940,Khairy Jamaluddin,Khairy Jamaluddin,https://en.wikipedia.org/w/index.php?title=Ismail_Sabri_cabinet&oldid=1059178629,2021-12-09,Q25212085,Minister of Health,2021-08-30,Q1449940-B9C0D25F-94C9-4ADF-A5A7-3AB5BB95D883
Q19646358,Reezal Merican Naina Merican,Reezal Merican Naina Merican,https://en.wikipedia.org/w/index.php?title=Ismail_Sabri_cabinet&oldid=1059178629,2021-12-09,Q30601375,"Minister of Urban Wellbeing, Housing and Local Government",2021-08-30,Q19646358-2A85EDD7-0C28-4E92-A096-45E2F9AD38AA
Q20451202,Idris Ahmad,Idris Ahmad,https://en.wikipedia.org/wiki/Idris_Ahmad_(politician),2021-08-27,Q24949267,Minister in the Prime Minister's Department (Religious Affairs),2021-08-30,Q20451202-D4EC6838-590C-41EF-ACFC-5042D11F2B5D
Q3521234,Saravanan Murugan,Saravanan Murugan,https://en.wikipedia.org/w/index.php?title=Ismail_Sabri_cabinet&oldid=1059178629,2021-12-09,Q30601427,Minister of Human Resources,2021-08-30,Q3521234-C6F06DB5-957F-4AB9-B89E-04C097BC9EE6
Q38460552,Ahmad Faizal Azumu,Ahmad Faizal Azumu,https://en.wikipedia.org/w/index.php?title=Ismail_Sabri_cabinet&oldid=1059178629,2021-12-09,Q30601401,Minister of Youth and Sports,2021-08-30,Q38460552-1F2AA385-BE3C-472E-8F0B-EDFF7DFCE7A1
Q4665513,Abdul Latiff Ahmad,Abdul Latiff Ahmad,https://en.wikipedia.org/w/index.php?title=Ismail_Sabri_cabinet&oldid=1059178629,2021-12-09,Q24949267,Minister in the Prime Minister's Department,2021-08-30,Q4665513-F49A2546-A5E7-4B6E-828B-2E6312A4AAAF
Q4719738,Alexander Nanta Linggi,Alexander Nanta Linggi,https://en.wikipedia.org/w/index.php?title=Ismail_Sabri_cabinet&oldid=1059178629,2021-12-09,Q30601373,"Minister of Domestic Trade, Co-operatives and Consumerism",2021-08-30,Q4719738-56FE2400-82DE-4DC0-A7ED-734571572222
Q4769706,Annuar Musa,Annuar Musa,https://en.wikipedia.org/w/index.php?title=Ismail_Sabri_cabinet&oldid=1059178629,2021-12-09,Q30601366,Minister of Communications and Multimedia,2021-08-30,Q4769706-58805EAD-83D9-42F9-8627-2EE6A262AAC3
Q54005229,Rina Harun,Rina Harun,https://en.wikipedia.org/w/index.php?title=Ismail_Sabri_cabinet&oldid=1059178629,2021-12-09,Q30601417,"Minister of Women, Family and Community Development",2021-08-30,Q54005229-933A0D75-C2C3-47DD-BD5A-9FA6E1E25691
Q5429257,Fadillah Yusof,Fadillah Yusof,https://en.wikipedia.org/w/index.php?title=Ismail_Sabri_cabinet&oldid=1059178629,2021-12-09,Q30601411,Minister of Works,2021-08-30,Q5429257-253D7883-8DC4-44CD-AAC8-2F4F95FF9A15
Q5429257,Fadillah Yusof,Fadillah Yusof,https://en.wikipedia.org/w/index.php?title=Ismail_Sabri_cabinet&oldid=1059178629,2021-12-09,Q95461539,Senior minister of Malaysia,2021-08-30,Q5429257-F385A9B6-1BA2-434B-A32B-6E8F77E442D5
Q55847609,Adham Baba,Adham Baba,https://en.wikipedia.org/w/index.php?title=Ismail_Sabri_cabinet&oldid=1059178629,2021-12-09,Q30601444,"Minister of Science, Technology and Innovation",2021-08-30,Q55847609-0A0FBA20-C258-4794-B408-00579A143B8F
Q5642346,Halimah Mohd Sadique,Halimah Mohd Sadique,https://en.wikipedia.org/w/index.php?title=Ismail_Sabri_cabinet&oldid=1059178629,2021-12-09,Q105986187,Minister of National Unity,2021-08-30,Q5642346-6B3032B6-E5F8-42BE-BB4D-83A05A0ED9AC
Q5646531,Hamzah Zainuddin,Hamzah Zainuddin,https://en.wikipedia.org/w/index.php?title=Ismail_Sabri_cabinet&oldid=1059178629,2021-12-09,Q23939417,Minister of Home Affairs,2021-08-30,Q5646531-3C3CF3C4-7A52-477F-9DAB-6D8309361EF3
Q5772615,Hishammuddin Hussein,Hishammuddin Hussein,https://en.wikipedia.org/wiki/Hishammuddin_Hussein,2021-08-27,Q20449744,Minister of Defence,2021-08-30,Q5772615-6B585D75-0B6B-43E6-A035-AF6BF0C2E9C5
Q5772615,Hishammuddin Hussein,Hishammuddin Hussein,https://en.wikipedia.org/w/index.php?title=Ismail_Sabri_cabinet&oldid=1059178629,2021-12-09,Q95461539,Senior minister of Malaysia,2021-08-30,Q5772615-C5929C44-0FCA-4CE3-BC93-CA561B3C8706
Q6084858,Ismail Sabri Yaakob,Ismail Sabri Yaakob,,,Q862559,Prime Minister of Malaysia,2021-08-21,Q6084858-50ba8716-4b13-72d9-e95f-ea00df4e8102
Q61113768,Mohd Radzi Md Jidin,Mohd Radzi Md Jidin,https://en.wikipedia.org/w/index.php?title=Ismail_Sabri_cabinet&oldid=1059178629,2021-12-09,Q30601368,Minister of Education,2021-08-30,Q61113768-47858C6D-6E5A-4434-8C42-18E5CC63F738
Q61113768,Mohd Radzi Md Jidin,Mohd Radzi Md Jidin,https://en.wikipedia.org/w/index.php?title=Ismail_Sabri_cabinet&oldid=1059178629,2021-12-09,Q95461539,Senior minister of Malaysia,2021-08-30,Q61113768-54158260-EE60-489F-92E1-842A95759419
Q6155600,Mustapa Mohamed,Mustapa Mohamed,https://en.wikipedia.org/w/index.php?title=Ismail_Sabri_cabinet&oldid=1059178629,2021-12-09,Q24949267,Minister in the Prime Minister's Department,2021-08-30,Q6155600-297B35A7-107F-41CF-BFBC-29A3A75BC556
Q6653321,Maximus Ongkili,Maximus Ongkili,,,Q24949267,Minister in the Prime Minister's Department,2020-03-10,Q6653321-57fb1384-493d-9f90-9332-de163dc1fe76
Q6733710,Mahdzir Khalid,Mahdzir Khalid,https://en.wikipedia.org/w/index.php?title=Ismail_Sabri_cabinet&oldid=1059178629,2021-12-09,Q30601414,Minister of Rural and Regional Development,2021-08-30,Q6733710-B083EA45-4D1C-4C6A-B0F6-EBF0AB6B947B
Q6962983,Nancy Shukri,Nancy Shukri,https://en.wikipedia.org/w/index.php?title=Ismail_Sabri_cabinet&oldid=1059178629,2021-12-09,Q25242001,Minister of Tourism and Culture,2021-08-30,Q6962983-6E73855A-C1AB-410B-8D53-51A134D39D32
Q7047541,Noh Omar,Noh Omar,https://en.wikipedia.org/w/index.php?title=Ismail_Sabri_cabinet&oldid=1059178629,2021-12-09,Q55623237,Minister of Entrepreneur Development (Malaysia),2021-09-11,Q7047541-0110D0C5-34BB-4D3E-BEA7-FDD112E3734D
Q7050236,Noraini Ahmad,Noraini Ahmad,https://en.wikipedia.org/w/index.php?title=Ismail_Sabri_cabinet&oldid=1059178629,2021-12-09,Q30601405,Minister of Higher Education,2021-08-30,Q7050236-464912A9-AE83-4C26-9E71-37D549F70723
Q7365021,Ronald Kiandee,Ronald Kiandee,https://en.wikipedia.org/w/index.php?title=Ismail_Sabri_cabinet&oldid=1059178629,2021-12-09,Q30601423,Minister of Agriculture and Food Industries,2021-08-30,Q7365021-B45B0008-5B37-43DA-99A5-845ABA12F101
Q73962,Mohamed Azmin Ali,Mohamed Azmin Ali,https://en.wikipedia.org/wiki/Mohamed_Azmin_Ali,2021-08-27,Q25240869,Minister of International Trade and Industry,2021-08-30,Q73962-414D2C97-4C65-4FD7-AAB9-56B34A55E31F
Q73962,Mohamed Azmin Ali,Mohamed Azmin Ali,https://en.wikipedia.org/w/index.php?title=Ismail_Sabri_cabinet&oldid=1059178629,2021-12-09,Q95461539,Senior minister of Malaysia,2021-08-30,Q73962-B29D3E37-A070-432C-9384-16A59751C7F6
Q7400032,Saifuddin Abdullah,Saifuddin Abdullah,https://en.wikipedia.org/w/index.php?title=Ismail_Sabri_cabinet&oldid=1059178629,2021-12-09,Q30601355,Minister of Foreign Affairs,2021-08-30,Q7400032-4F637FE5-DD75-4ABA-867E-0F36574F18C3
Q7461744,Shahidan Kassim,Shahidan Kassim,https://en.wikipedia.org/w/index.php?title=Ismail_Sabri_cabinet&oldid=1059178629,2021-12-09,Q30601408,Minister of Federal Territories,2021-08-30,Q7461744-451B61A2-6DB4-4117-8BCA-5A052991D2D2
Q7967007,Wan Junaidi Tuanku Jaafar,Wan Junaidi Tuanku Jaafar,https://en.wikipedia.org/wiki/Wan_Junaidi,2021-08-27,Q24949267,Minister in the Prime Minister's Department (Parliament and Law),2021-08-30,Q7967007-BBC3DC92-E626-4804-B08E-86162292B0B8
Q7979293,Wee Ka Siong,Wee Ka Siong,https://en.wikipedia.org/w/index.php?title=Ismail_Sabri_cabinet&oldid=1059178629,2021-12-09,Q25242000,Minister of Transport,2021-08-30,Q7979293-17940DB9-BA15-4C0F-8BE3-3BBF2FB4D243
Q8064320,Zafrul Aziz,Zafrul Aziz,https://en.wikipedia.org/wiki/Tengku_Zafrul_Aziz,2021-08-27,Q25241999,Minister of Finance,2021-08-30,Q8064320-FF531177-B90D-4CB0-903D-7F2C57252A55
Q8075369,Zuraida Kamarudin,Zuraida Kamarudin,https://en.wikipedia.org/w/index.php?title=Ismail_Sabri_cabinet&oldid=1059178629,2021-12-09,Q30601432,Minister of Plantation Industries and Commodities,2021-08-30,Q8075369-9A041661-84B0-4510-8E65-F96F56E4FE36
